eia_id,state,area_m2,plant_year,longitude,latitude,open water,"developed, open space","developed, low intensity","developed, medium intensity","developed, high intensity",barren land,deciduous forest,evergreen forest,mixed forest,shrub/scrub,herbaceous,hay/pasture,cultivated crops,woody wetlands,emergent herbaceous wetlands,,,,,,,,,,,,,,,,,
58750,CA,109674.7558,2014,-118.2918243,34.7165985,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
58753,CA,138513.8724,2014,-118.2924118,34.7236748,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.987,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
58757,CA,196961.0385,2014,-118.2963943,34.7287674,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.335,0.665,0.000,0.000,,,,,,,,,,,,,,,,,
59961,CA,502431.0423,2016,-118.3138809,34.7271996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.031,0.000,0.969,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
59964,CA,792921.3864,2016,-118.3023911,34.7266006,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.995,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
59963,CA,239756.9605,2016,-118.3009338,34.7206268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.981,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
60280,CA,512514.1376,2016,-118.311348,34.714901,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
58149,CA,255526.8822,2013,-118.3047104,34.7146606,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.989,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
61264,CA,2176690.673,2018,-118.3117981,34.7495995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
60185,CA,1685004.98,2016,-118.2979202,34.6576767,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.546,0.000,0.454,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
60186,CA,1024651.569,2016,-118.2810287,34.6549416,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.207,0.000,0.793,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
60279,CA,480753.8647,2016,-118.2891312,34.6937866,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
59431,CA,429063.2813,2015,-118.3379364,34.6998062,0.000,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.990,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
59443,CA,678663.7502,2014,-118.3284683,34.6897659,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.144,0.000,0.838,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
58626,CA,425904.2943,2014,-118.3197632,34.6860275,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
60475,CA,376586.6568,2017,-118.3177109,34.6776733,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.280,0.017,0.703,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
60474,CA,397193.5507,2017,-118.3022537,34.6783791,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
58452,CA,43872.23912,2013,-118.2741241,34.7085991,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
61445,CA,1091726.32,2018,-118.5495148,34.8363152,0.000,0.053,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.910,0.025,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
59740,CA,569868.9139,2016,-118.2783661,35.0204391,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
57892,CA,393113.0592,2013,-120.1153641,36.176796,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.000,0.000,,,,,,,,,,,,,,,,,
58973,CA,560410.5135,2014,-119.4621277,35.8744926,0.000,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.982,0.000,0.000,,,,,,,,,,,,,,,,,
58627,CA,198608.7011,2016,-118.308754,34.7254486,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.046,0.000,0.954,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
60310,CA,386326.8955,2017,-118.2822495,34.7164917,0.000,0.009,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.988,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
59730,CA,70590.39492,2016,-117.936142,34.6135979,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
59524,CA,387376.4011,2019,-119.8450851,35.6109886,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
62365,MN,93256.79059,2019,-93.7889557,45.2578239,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.079,0.921,0.000,0.000,,,,,,,,,,,,,,,,,
62210,MN,95318.97537,2019,-92.9726715,44.5416641,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,,,,,,,,
62209,MN,93795.42264,2019,-92.9718933,44.5277977,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,,,,,,,,
62062,MN,123940.8652,2018,-93.272438,45.4584694,0.000,0.000,0.000,0.000,0.000,0.000,0.970,0.000,0.000,0.000,0.000,0.000,0.030,0.000,0.000,,,,,,,,,,,,,,,,,
62037,MN,89591.0713,2019,-91.7914124,44.1146545,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.043,0.947,0.000,0.000,,,,,,,,,,,,,,,,,
62031,MN,89383.83372,2019,-94.1168518,45.4951439,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,,,,,,,,
61971,MN,94363.50133,2019,-93.6440277,45.0975914,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.429,0.571,0.000,0.000,,,,,,,,,,,,,,,,,
61919,MN,78881.3371,2019,-92.3597717,44.5041275,0.000,0.137,0.000,0.000,0.000,0.000,0.021,0.000,0.000,0.000,0.284,0.558,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
61870,MN,139104.1816,2019,-95.6928406,44.8965569,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,,,,,,,,
60534,MN,216546.2545,2016,-93.9011383,44.7933159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,,,,,,,,
60533,MN,145797.151,2016,-93.3104706,44.2742462,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,,,,,,,,
60532,MN,284130.0661,2016,-93.5313721,44.0924644,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,,,,,,,,
60530,MN,275280.4779,2016,-94.7218475,45.3931427,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.051,0.946,0.000,0.003,,,,,,,,,,,,,,,,,
60524,MN,144696.9559,2016,-93.916626,44.1546249,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.000,0.000,0.000,0.000,0.000,0.976,0.000,0.000,,,,,,,,,,,,,,,,,
60523,MN,176950.6458,2016,-92.8812103,44.0264664,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.984,0.000,0.000,,,,,,,,,,,,,,,,,
60522,MN,177543.9292,2016,-92.9018784,45.4524155,0.000,0.000,0.000,0.000,0.000,0.000,0.075,0.000,0.000,0.000,0.000,0.000,0.925,0.000,0.000,,,,,,,,,,,,,,,,,
60519,MN,276978.3584,2016,-94.6012421,45.6411171,0.000,0.036,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.935,0.000,0.000,,,,,,,,,,,,,,,,,
59852,MN,3112889.261,2016,-92.8978271,45.4850922,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.005,0.000,0.003,0.002,0.023,0.935,0.000,0.000,,,,,,,,,,,,,,,,,
526,NJ,226340.1561,2017,-74.6992569,39.980896,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,,,,,,,,
